id,Entity,Code,Day,stay_home_requirements
119031,Sweden,SWE,2021-02-21,1
119032,Sweden,SWE,2021-02-22,1
119033,Sweden,SWE,2021-02-23,1
119034,Sweden,SWE,2021-02-24,1
119035,Sweden,SWE,2021-02-25,1
119036,Sweden,SWE,2021-02-26,1
119037,Sweden,SWE,2021-02-27,1
119038,Sweden,SWE,2021-02-28,1
119039,Sweden,SWE,2021-03-01,1
119040,Sweden,SWE,2021-03-02,1
119041,Sweden,SWE,2021-03-03,1
119042,Sweden,SWE,2021-03-04,1
119043,Sweden,SWE,2021-03-05,1
119044,Sweden,SWE,2021-03-06,1
119045,Sweden,SWE,2021-03-07,1
119046,Sweden,SWE,2021-03-08,1
119047,Sweden,SWE,2021-03-09,1
119048,Sweden,SWE,2021-03-10,1
119049,Sweden,SWE,2021-03-11,1
119050,Sweden,SWE,2021-03-12,1
119051,Sweden,SWE,2021-03-13,1
119052,Sweden,SWE,2021-03-14,1
119053,Sweden,SWE,2021-03-15,1
119054,Sweden,SWE,2021-03-16,1
119055,Sweden,SWE,2021-03-17,1
119056,Sweden,SWE,2021-03-18,1
119057,Sweden,SWE,2021-03-19,1
119058,Sweden,SWE,2021-03-20,1
119059,Sweden,SWE,2021-03-21,1
119060,Sweden,SWE,2021-03-22,1
119061,Sweden,SWE,2021-03-23,1
119062,Sweden,SWE,2021-03-24,1
119063,Sweden,SWE,2021-03-25,1
119064,Sweden,SWE,2021-03-26,1
119065,Sweden,SWE,2021-03-27,1
119066,Sweden,SWE,2021-03-28,1
119067,Sweden,SWE,2021-03-29,1
119068,Sweden,SWE,2021-03-30,1
119069,Sweden,SWE,2021-03-31,1
119070,Sweden,SWE,2021-04-01,1
119071,Sweden,SWE,2021-04-02,1
119072,Sweden,SWE,2021-04-03,1
119073,Sweden,SWE,2021-04-04,1
119074,Sweden,SWE,2021-04-05,1
119075,Sweden,SWE,2021-04-06,1
119076,Sweden,SWE,2021-04-07,1
119077,Sweden,SWE,2021-04-08,1
119078,Sweden,SWE,2021-04-09,1
119079,Sweden,SWE,2021-04-10,1
119080,Sweden,SWE,2021-04-11,1
119081,Sweden,SWE,2021-04-12,1
119082,Sweden,SWE,2021-04-13,1
119083,Sweden,SWE,2021-04-14,1
119084,Sweden,SWE,2021-04-15,1
119085,Sweden,SWE,2021-04-16,1
119086,Sweden,SWE,2021-04-17,1
119087,Sweden,SWE,2021-04-18,1
119088,Sweden,SWE,2021-04-19,1
119089,Sweden,SWE,2021-04-20,1
119090,Sweden,SWE,2021-04-21,1
