,Media_Adwell_upperfunnel_native,Media_Bing_lowerfunnel_search_brand,Media_Bing_midfunnel_search_midbrand,Media_Bing_upperfunnel_search_nobrand,Media_DBM_lowerfunnel_display,Media_DBM_midfunnel_display,Media_DBM_upperfunnel_display,Media_DBM_upperfunnel_video,Media_DC_DBM_upperfunnel_video,Media_Eurosize_upperfunnel_OOH_JCD,Media_Eurosize_upperfunnel_OOH_VA,Media_Facebook_lowerfunnel_display,Media_Facebook_lowerfunnel_video,Media_Facebook_upperfunnel_display,Media_Facebook_upperfunnel_video,Media_Flygstart_upperfunnel_newsletter,Media_Google_lowerfunnel_display,Media_Google_lowerfunnel_search_brand,Media_Google_midfunnel_display,Media_Google_midfunnel_search_midbrand,Media_Google_upperfunnel_display,Media_Google_upperfunnel_search_nobrand,Media_Google_video_lowerfunnel_Youtube,Media_Google_video_upperfunnel_Youtube,Media_HejSenior_upperfunnel_newsletter,Media_Instagram_lowerfunnel_display,Media_Instagram_lowerfunnel_video,Media_Instagram_upperfunnel_display,Media_Instagram_upperfunnel_video,Media_MediaMath_upperfunnel_video,Media_Newsletter_lowerfunnel,Media_Newsner_midfunnel_native,Media_Online_radio_upperfunnel,Media_Radio_upperfunnel,Media_Secreteescape_midfunnel_display,Media_Smarter_Travel_upperfunnel_affiliate,Media_Snapchat_upperfunnel_display,Media_Snapchat_upperfunnel_video,Media_Sociomantic_lowerfunnel_retarg_display,Media_Sociomantic_upperfunnel_prospecting_display,Media_TV_upperfunnel,Media_Tiktok_upperfunnel_video,Media_TradeTracker_upperfunnel_affiliate,Media_Youtube_Masthead_upperfunnel_video
2017-07-22,0,110.0,87.0,613.0,0.0,0.0,0.0,0,0.0,0,0,1772.0,0.0,39.0,70.0,0.0,389.0,568.0,4608.0,4909.0,2787.0,13483.0,1.0,182.0,0.0,36.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,7.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-07-23,0,160.0,164.0,790.0,0.0,0.0,0.0,0,0.0,0,0,1755.0,0.0,44.0,89.0,0.0,519.0,627.0,5219.0,8082.0,2678.0,15935.0,2.0,206.0,0.0,68.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,16.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-07-24,0,274.0,149.0,951.0,0.0,0.0,0.0,0,0.0,0,0,1723.0,0.0,38.0,86.0,0.0,445.0,724.0,4627.0,7447.0,2734.0,19020.0,5.0,186.0,0.0,38.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,18.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-07-25,0,236.0,172.0,960.0,0.0,0.0,0.0,0,0.0,0,0,1574.0,0.0,52.0,64.0,0.0,436.0,531.0,5034.0,8561.0,2065.0,17313.0,0.0,52.0,0.0,27.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,17.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-07-26,0,227.0,158.0,856.0,0.0,0.0,0.0,0,0.0,0,0,1621.0,0.0,29.0,66.0,0.0,303.0,668.0,4146.0,6471.0,1713.0,17509.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,19.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-07-27,0,216.0,125.0,824.0,0.0,0.0,0.0,0,0.0,0,0,1574.0,0.0,31.0,77.0,0.0,396.0,458.0,4453.0,7659.0,2500.0,15839.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,12.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-07-28,0,183.0,124.0,760.0,0.0,0.0,0.0,0,0.0,0,0,1677.0,0.0,31.0,94.0,0.0,746.0,598.0,4889.0,6577.0,5426.0,13940.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,21.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-07-29,0,128.0,129.0,727.0,0.0,0.0,0.0,0,0.0,0,0,1714.0,0.0,33.0,78.0,0.0,664.0,587.0,5577.0,5001.0,4071.0,15540.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0,1659.0,0.0,0,0,0.0,20.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-07-30,0,163.0,154.0,809.0,0.0,0.0,0.0,0,0.0,0,0,1787.0,0.0,33.0,105.0,0.0,786.0,593.0,5929.0,7920.0,4850.0,16661.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,20.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-07-31,0,277.0,152.0,992.0,0.0,0.0,0.0,0,0.0,0,0,1694.0,0.0,37.0,90.0,0.0,722.0,710.0,5744.0,6947.0,5289.0,17898.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0,1140.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
