Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Norsborg 2;97160;2.0

Parameternamn;Beskrivning;Enhet
Nederbörd;1 gång/dygn, kl 18;code

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1968-01-01 00:00:00;1974-12-31 23:59:59;15.0;59.2524;17.7989
1975-01-01 00:00:00;2022-02-28 23:59:59;8.671;59.2518;17.7960

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbörd;Kvalitet;;Tidsutsnitt:
1969-12-14 06:00:01;1969-12-15 06:00:00;1969-12-14;snöbyar;Y
1969-12-15 06:00:01;1969-12-16 06:00:00;1969-12-15;snöbyar;Y
1969-12-16 06:00:01;1969-12-17 06:00:00;1969-12-16;snowfall;Y
1969-12-17 06:00:01;1969-12-18 06:00:00;1969-12-17;snowfall;Y
1969-12-18 06:00:01;1969-12-19 06:00:00;1969-12-18;snowfall;Y
1969-12-29 06:00:01;1969-12-30 06:00:00;1969-12-29;snöblandat regn;Y
1969-12-30 06:00:01;1969-12-31 06:00:00;1969-12-30;snowfall;Y
1969-12-31 06:00:01;1970-01-01 06:00:00;1969-12-31;duggregn;Y
1970-05-04 06:00:01;1970-05-05 06:00:00;1970-05-04;duggregn;Y
1970-05-04 06:00:01;1970-05-05 06:00:00;1970-05-04;regn;Y
1970-05-19 06:00:01;1970-05-20 06:00:00;1970-05-19;regn;Y
1970-05-21 06:00:01;1970-05-22 06:00:00;1970-05-21;regn;Y
1970-05-22 06:00:01;1970-05-23 06:00:00;1970-05-22;regn;Y
1970-05-28 06:00:01;1970-05-29 06:00:00;1970-05-28;regn;Y
1970-05-30 06:00:01;1970-05-31 06:00:00;1970-05-30;regn;Y
1970-05-31 06:00:01;1970-06-01 06:00:00;1970-05-31;regn;Y
1970-06-01 06:00:01;1970-06-02 06:00:00;1970-06-01;regn;Y
1970-06-11 06:00:01;1970-06-12 06:00:00;1970-06-11;regn;Y
1970-06-12 06:00:01;1970-06-13 06:00:00;1970-06-12;regnskurar;Y
1970-06-15 06:00:01;1970-06-16 06:00:00;1970-06-15;regn;Y
1970-06-22 06:00:01;1970-06-23 06:00:00;1970-06-22;regn;Y
1970-06-25 06:00:01;1970-06-26 06:00:00;1970-06-25;regn;Y
1970-06-30 06:00:01;1970-07-01 06:00:00;1970-06-30;regn;Y
1970-07-01 06:00:01;1970-07-02 06:00:00;1970-07-01;regn;Y
1970-07-02 06:00:01;1970-07-03 06:00:00;1970-07-02;regn;Y
1970-07-04 06:00:01;1970-07-05 06:00:00;1970-07-04;regn;Y
1970-07-05 06:00:01;1970-07-06 06:00:00;1970-07-05;regnskurar;Y
1970-07-07 06:00:01;1970-07-08 06:00:00;1970-07-07;regnskurar;Y
1970-07-10 06:00:01;1970-07-11 06:00:00;1970-07-10;regn;Y
1970-07-11 06:00:01;1970-07-12 06:00:00;1970-07-11;regnskurar;Y
1970-07-15 06:00:01;1970-07-16 06:00:00;1970-07-15;regn;Y
1970-07-16 06:00:01;1970-07-17 06:00:00;1970-07-16;regnskurar;Y
