Date,Open,High,Low,Close
08/22/2019,"16.12","17.68","15.63","16.68"
08/21/2019,"17.01","17.04","15.51","15.80"
08/20/2019,"16.78","17.70","16.45","17.50"
08/19/2019,"17.93","18.22","16.52","16.88"
08/16/2019,"20.48","20.50","18.41","18.47"
08/15/2019,"21.58","24.10","20.78","21.18"
08/14/2019,"17.81","22.71","17.75","22.10"
08/13/2019,"21.28","21.64","17.52","17.52"
08/12/2019,"17.87","21.26","17.77","21.09"
08/09/2019,"18.14","19.44","17.31","17.97"
08/08/2019,"19.36","19.89","16.82","16.91"
08/07/2019,"20.70","23.67","18.94","19.49"
08/06/2019,"22.29","22.87","19.77","20.17"
08/05/2019,"19.96","24.81","19.91","24.59"
08/02/2019,"17.69","20.11","17.04","17.61"
08/01/2019,"15.41","19.46","13.73","17.87"
07/31/2019,"13.83","16.55","13.46","16.12"
07/30/2019,"12.87","14.18","12.87","13.94"
07/29/2019,"12.15","13.17","12.15","12.83"
07/26/2019,"12.58","12.72","12.01","12.16"
07/25/2019,"12.24","13.54","11.69","12.74"
07/24/2019,"12.80","13.10","11.98","12.07"
07/23/2019,"13.42","13.52","12.55","12.61"
07/22/2019,"14.55","14.70","13.42","13.53"
07/19/2019,"13.31","14.45","13.09","14.45"
07/18/2019,"14.45","14.50","13.19","13.53"
07/17/2019,"12.62","13.97","12.24","13.97"
07/16/2019,"12.61","13.14","12.28","12.86"
07/15/2019,"12.58","13.02","12.49","12.68"
07/12/2019,"12.76","12.82","12.28","12.39"
07/11/2019,"13.01","13.33","12.39","12.93"
07/10/2019,"14.38","14.69","12.98","13.03"
07/09/2019,"14.47","14.71","13.99","14.09"
07/08/2019,"13.73","14.44","13.64","13.96"
07/05/2019,"13.00","14.47","12.04","13.28"
07/04/2019,"13.18","13.19","12.56","12.57"
07/03/2019,"13.18","13.19","12.56","12.57"
07/02/2019,"14.16","14.30","12.90","12.93"
07/01/2019,"13.85","14.64","13.80","14.06"
06/28/2019,"15.70","16.13","15.08","15.08"
06/27/2019,"15.66","16.40","15.66","15.82"
06/26/2019,"16.10","16.60","15.47","16.21"
06/25/2019,"15.43","16.68","15.10","16.28"
06/24/2019,"15.46","15.56","15.23","15.26"
06/21/2019,"14.74","15.48","14.42","15.40"
06/20/2019,"14.04","16.03","13.19","14.75"
06/19/2019,"15.05","15.71","14.15","14.33"
06/18/2019,"14.89","15.54","14.62","15.15"
06/17/2019,"15.65","15.76","15.24","15.35"
06/14/2019,"16.00","16.40","15.21","15.28"
06/13/2019,"16.16","16.21","15.61","15.82"
06/12/2019,"16.26","16.43","15.78","15.91"
06/11/2019,"15.84","16.70","15.50","15.99"
06/10/2019,"16.30","16.47","15.84","15.94"
06/07/2019,"15.65","16.44","15.33","16.30"
06/06/2019,"16.25","16.54","15.36","15.93"
06/05/2019,"17.06","17.49","16.04","16.09"
06/04/2019,"18.74","18.74","16.97","16.97"
06/03/2019,"19.41","19.75","18.16","18.86"
05/31/2019,"19.05","19.72","18.01","18.71"
05/30/2019,"17.47","18.11","16.72","17.30"
05/29/2019,"18.55","19.04","17.62","17.90"
05/28/2019,"16.55","17.70","15.90","17.50"
05/27/2019,"16.34","16.52","15.52","15.85"
05/24/2019,"16.34","16.52","15.52","15.85"
05/23/2019,"15.93","18.05","15.28","16.92"
05/22/2019,"15.06","15.44","14.42","14.75"
05/21/2019,"15.86","16.22","14.79","14.95"
05/20/2019,"15.88","17.63","15.46","16.31"
05/17/2019,"15.89","16.81","14.86","15.96"
05/16/2019,"16.69","17.13","15.16","15.29"
05/15/2019,"17.57","19.15","16.41","16.44"
05/14/2019,"19.40","19.65","17.45","18.06"
05/13/2019,"18.62","21.32","18.35","20.55"
05/10/2019,"18.79","20.19","15.57","16.04"
05/09/2019,"21.40","23.38","18.87","19.10"
05/08/2019,"18.95","21.74","18.29","19.40"
05/07/2019,"15.90","21.84","15.80","19.32"
05/06/2019,"12.89","18.80","12.89","15.44"
05/03/2019,"14.11","14.15","12.80","12.87"
05/02/2019,"14.35","15.92","13.80","14.42"
05/01/2019,"12.86","14.83","12.74","14.80"
04/30/2019,"13.11","14.05","12.88","13.12"
04/29/2019,"13.04","13.27","12.65","13.11"
04/26/2019,"13.44","13.62","12.49","12.73"
04/25/2019,"13.29","14.30","12.81","13.25"
04/24/2019,"12.53","13.23","12.26","13.14"
04/23/2019,"12.66","12.69","12.08","12.28"
04/22/2019,"13.21","13.36","12.38","12.42"
04/19/2019,"12.80","13.12","12.02","12.09"
04/18/2019,"12.80","13.12","12.02","12.09"
04/17/2019,"12.12","13.02","11.03","12.60"
04/16/2019,"12.26","12.47","11.85","12.18"
04/15/2019,"12.46","13.14","12.24","12.32"
04/12/2019,"12.96","12.96","11.95","12.01"
04/11/2019,"13.37","13.58","12.91","13.02"
04/10/2019,"14.09","14.29","13.27","13.30"
04/09/2019,"13.46","14.39","13.31","14.28"
04/08/2019,"13.55","13.77","13.10","13.18"
04/05/2019,"13.46","13.47","12.17","12.82"
04/04/2019,"13.84","14.03","13.40","13.58"
