Date,Open,High,Low,Close
04/05/2019,"519.04","519.04","519.04","519.04"
04/04/2019,"517.28","517.28","517.28","517.28"
04/03/2019,"517.28","517.28","517.28","517.28"
04/02/2019,"514.39","514.39","514.39","514.39"
04/01/2019,"514.35","514.35","514.35","514.35"
03/29/2019,"508.55","508.55","508.55","508.55"
03/28/2019,"505.14","505.14","505.14","505.14"
03/27/2019,"504.83","504.83","504.83","504.83"
03/26/2019,"507.02","507.02","507.02","507.02"
03/25/2019,"503.56","503.56","503.56","503.56"
03/22/2019,"505.88","505.88","505.88","505.88"
03/21/2019,"513.50","513.50","513.50","513.50"
03/20/2019,"510.05","510.05","510.05","510.05"
03/19/2019,"511.97","511.97","511.97","511.97"
03/18/2019,"511.36","511.36","511.36","511.36"
03/15/2019,"508.72","508.72","508.72","508.72"
03/14/2019,"505.56","505.56","505.56","505.56"
03/13/2019,"505.54","505.54","505.54","505.54"
03/12/2019,"502.99","502.99","502.99","502.99"
03/11/2019,"500.55","500.55","500.55","500.55"
03/08/2019,"494.91","494.91","494.91","494.91"
03/07/2019,"497.86","497.86","497.86","497.86"
03/06/2019,"502.22","502.22","502.22","502.22"
03/05/2019,"504.07","504.07","504.07","504.07"
03/04/2019,"504.60","504.60","504.60","504.60"
03/01/2019,"505.75","505.75","505.75","505.75"
02/28/2019,"503.48","503.48","503.48","503.48"
02/27/2019,"505.40","505.40","505.40","505.40"
02/26/2019,"505.51","505.51","505.51","505.51"
02/25/2019,"505.69","505.69","505.69","505.69"
02/22/2019,"504.15","504.15","504.15","504.15"
02/21/2019,"501.69","501.69","501.69","501.69"
02/20/2019,"502.92","502.92","502.92","502.92"
02/19/2019,"500.58","500.58","500.58","500.58"
